Subarea,Operator.Numeric,County.Numeric,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,Depth.Total.Log,WB.Spacing.Proxy,SPBY.Spacing.Proxy,DeepestZoneNumeric,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Propant.Total.Log,Fluid...Total..lbs.,Fluid.Total.Log,EUR_o..Mstb.
B,28,4,2008,31.55523,-101.96911,10000,9.210340372,40,20,7,3,3,359875,12.7935120279,405250,12.9122594396,34.05661012
C,27,2,2010,31.83735,-101.95706,10575,9.2662480039,40,160,7,7,14,614501,13.3285658353,892846,13.7021693926,45.956
B,10,4,2011,31.50942,-102.06507,11490,9.3492323708,40,160,1,1,1,776000,13.5619077992,1255367.367,14.0429388104,115.2346599
E,2,3,2005,31.43957,-101.66677,8327,9.0272585262,40,40,7,2,2,100450,11.5174153702,383200,12.8563123251,28.22
F,18,3,2010,31.53432,-101.41733,8434,9.0400264343,40,40,7,7,7,NA,NA,NA,NA,53.604
C,2,1,2008,31.71701,-101.75875,9890,9.1992794246,,,7,6,12,474820,13.0706910638,417946,12.9431075166,9.735
E,27,3,2008,31.61262,-101.69658,8515,9.0495845931,80,20,5,4,8,601360,13.3069490359,246762,12.4161795883,17.184
D,4,1,2010,31.96115,-101.68141,10579,9.266626183,160,Over 160,1,5,13,398000,12.8942072843,25116,10.1312603722,32.96370677
D,2,1,2011,31.8386,-101.54503,10935,9.2997239331,40,80,4,8,8,609263,13.320005309,809200,13.6038013843,26.81893188
C,27,2,2003,31.74802,-101.93701,10590,9.2676654386,80,40,7,4,8,370431,12.8224224716,303571,12.6233707995,15.893
A,27,2,2006,31.89491,-102.00225,10185,9.2286713287,40,Sub 20,7,6,11,520620,13.162775688,450120,13.0172694929,42.824
C,27,2,2003,31.75528,-101.93938,10500,9.2591305361,40,160,7,4,8,219633,12.2997132506,300678,12.6137952037,18.94660235
A,14,2,2011,31.81433,-102.21871,10645,9.2728455773,80,Over 160,7,1,1,698959,13.4573473643,1080156,13.8926160331,73.48365573
A,24,2,2003,31.78472,-102.04792,10525,9.2615086586,80,40,7,1,2,390000,12.8739020181,283000,12.5532021766,45.712
D,14,1,2011,31.75392,-101.6194,10885,9.2951409737,80,160,4,1,1,NA,NA,1055334,13.8693678625,95.636
D,27,1,2012,31.98156,-101.72766,10743,9.2820096587,80,Over 160,3,5,9,1238986,14.0298038611,1235601,14.0270680493,17.556
D,13,1,2009,31.9457,-101.75215,10560,9.2648285573,80,40,1,1,3,1373343.945,14.1327591596,1040046,13.8547755009,69.756
B,13,2,2003,31.6715,-101.9753,10520,9.2610334863,20,40,7,4,8,161048,11.9894577362,281890,12.5492722029,59.83319228
E,2,3,2007,31.39708,-101.68929,8532,9.0515790796,80,20,7,2,2,169100,12.0382455349,481530,13.0847238136,20.396
C,27,2,2011,31.82675,-101.92212,10590,9.2676654386,40,40,6,4,8,1007299,13.8227830492,981497,13.7968342361,112.904
A,13,2,2005,31.7168,-102.0396,10530,9.2619836051,80,80,7,4,8,190200,12.1558314291,290780,12.5803222465,28.53084338
A,10,2,2010,31.82487,-102.12739,11110,9.3156008826,160,40,1,1,2,947000,13.7610543722,18984,9.8513517981,64.762
D,27,1,2003,31.71259,-101.71632,8635,9.0635789906,40,40,7,3,6,471030,13.0626770652,188309,12.1458395096,55.65707668
E,2,3,2008,31.53082,-101.65117,8276,9.0211150389,40,20,7,2,2,271750,12.512637805,220538,12.3038252946,12.592
A,5,2,2011,31.75186,-102.0514,11175,9.3214344195,40,80,1,10,10,967108,13.7820654538,622146,13.3409300709,23.3
C,27,2,2006,31.78182,-101.95272,10510,9.2600824639,40,160,7,6,12,633024,13.3582636151,466247,13.0524708156,28.836
C,27,2,2012,31.92027,-101.85936,10445,9.253878674,80,40,7,3,6,1423437,14.1685849276,1349935,14.1155670011,56.468
A,13,2,2006,31.8149,-101.9723,11529,9.3526208792,80,20,7,1,2,543040,13.204938261,477666,13.0766670225,58.35472283
E,2,3,2008,31.52097,-101.70988,8415,9.0377711066,80,40,7,2,2,258000,12.4607148639,220911,12.3055151845,16.276
A,13,2,2005,31.81568,-102.03594,10980,9.3038307151,80,80,7,1,1,401720,12.9035106075,579516,13.2699485514,77.38134441
A,13,2,2003,31.8018,-102.0306,10500,9.2591305361,80,40,7,4,8,171340,12.0514051655,289934,12.5774085899,37.596
A,20,2,2010,31.74272,-102.19934,10618,9.2703059531,40,160,7,4,8,895000,13.7045789973,1028770,13.8438744719,162.696
F,13,3,2010,31.53137,-101.47677,10100,9.2202907028,160,80,1,1,2,1171520,13.9738126089,1088640,13.9004397687,98.172
B,27,4,2011,31.51144,-102.02718,10935,9.2997239331,40,160,1,3,6,1218727,14.0133174293,948342,13.7624704757,63.628
C,27,2,2003,31.82287,-101.96955,10590,9.2676654386,40,80,7,4,8,370520,12.8226627034,287922,12.5704448891,19.84023768
E,2,3,2007,31.4844,-101.64598,8153,9.0061412367,20,20,7,2,2,123000,11.7199396344,365484,12.8089777816,18.768
C,27,2,2012,31.91622,-101.8934,10385,9.2481177363,40,20,7,3,6,1458884,14.1931823178,1252408,14.0405786561,48.14
B,13,2,2004,31.6988,-102.0025,10505,9.2596066133,40,80,7,4,8,191199,12.1610700495,298644,12.6070075076,38.192
B,13,2,2005,31.68745,-102.00262,11250,9.3281234076,40,40,7,1,1,350670,12.7676008893,453978,13.0258040177,91.768
E,2,3,2007,31.46071,-101.70873,8524,9.0506409932,80,20,7,2,2,344375,12.7494864589,457002,13.0324430462,19.43242355
B,27,4,2006,31.59182,-102.008,9289,9.1365861834,160,40,7,3,6,470580,13.0617212554,198104,12.1965474243,30.184
F,18,3,2010,31.54559,-101.44258,8585,9.0577717733,40,20,7,8,8,NA,NA,NA,NA,90.868
B,27,4,2004,31.53072,-101.91047,9080,9.1138294716,160,40,7,3,6,472150,13.0650520107,202232,12.2171708322,32.264
A,13,2,2007,31.77759,-102.08616,10410,9.2505221616,40,160,7,1,1,700324,13.4592983641,613662,13.327199567,62.78514382
B,27,2,2008,31.66348,-102.00862,10481,9.2573193732,80,40,7,5,10,500445,13.1232529816,392187,12.8794940458,26.62828616
C,27,2,2003,31.7787,-101.93778,10500,9.2591305361,40,80,7,5,10,387340,12.8670581393,401474,12.9028980531,49.79286603
B,2,4,2012,31.5172,-102.03305,10878,9.29449768,40,40,6,6,6,719500,13.4863118053,920354,13.7325136576,128.3355706
D,27,1,2009,31.89392,-101.7133,9582,9.1676416174,80,160,7,6,12,485020,13.0919454062,586154,13.2813378327,36.49085403
D,5,1,2012,31.92229,-101.70388,10880,9.2946815204,,,8,9,18,853791,13.6574417121,889944,13.6989138184,39.168
A,13,2,2007,31.82613,-102.2432,11265,9.3294558529,40,Over 160,7,1,1,555860,13.228271743,690144,13.4446555505,25.432
F,18,3,2010,31.5524,-101.40423,8432,9.0397892708,80,20,7,8,8,NA,NA,NA,NA,21.52
A,9,2,2006,31.82916,-102.02629,10440,9.2533998614,40,80,7,4,4,358656,12.7901189908,72450,11.1906519477,39.04780219
F,18,3,2011,31.61368,-101.44797,8563,9.055205875,80,20,7,7,7,NA,NA,NA,NA,26.76028006
E,2,3,2004,31.46737,-101.66234,8250,9.0179684793,40,40,7,1,1,350000,12.7656884335,159000,11.9766594812,35.576
F,14,1,2011,31.66999,-101.44441,10067,9.2170180267,80,Over 160,1,7,14,896000,13.705695692,557000,13.2303205189,36.408
D,2,1,2007,31.73249,-101.74037,9792,9.1893210048,80,40,7,6,12,523253,13.1678203737,426297,12.9628915654,13.624
F,18,3,2011,31.57118,-101.45924,8660,9.0664700016,80,40,7,7,7,NA,NA,NA,NA,27.02
E,2,3,2003,31.49026,-101.64712,8225,9.0149335756,20,40,7,1,1,290230,12.5784289911,192696,12.1688690965,21.03030391
F,2,3,2006,31.59383,-101.52146,8480,9.0454657288,40,160,7,2,2,149700,11.9163885704,504800,13.1319175902,38.86579378
A,2,2,2007,31.73066,-102.18653,10111,9.2213792191,80,40,7,6,12,524440,13.1700863056,407788,12.9185027105,24.856
A,2,2,2009,31.75534,-102.16317,10388,9.2484065728,80,40,7,7,14,655300,13.392848425,506153,13.1345942741,29.752
C,27,2,2003,31.72739,-101.86284,9050,9.1105200367,160,40,7,3,8,470600,13.0617637553,197045,12.191187408,23.092
F,14,1,2011,31.69677,-101.44318,10080,9.2183085416,40,Over 160,1,7,14,785500,13.5740757367,571500,13.2560197622,29.81065115
E,2,3,2005,31.45856,-101.65109,8124,9.0025779227,40,40,7,2,2,100450,11.5174153702,383200,12.8563123251,25.304
A,27,2,2003,31.762,-101.9903,10500,9.2591305361,40,80,7,4,8,367600,12.8147506695,309393,12.6423675924,56.28002967
A,10,2,2011,31.81322,-102.14197,11035,9.3088273187,80,40,1,1,2,934001,13.7472327879,18480,9.8244443452,76.504
E,2,3,2006,31.48518,-101.66149,8313,9.0255758335,40,80,7,2,2,123000,11.7199396344,365750,12.8097053189,40.748
E,2,3,2008,31.52064,-101.65128,8278,9.0213566723,20,20,7,2,2,273280,12.5182521896,196751,12.1896942489,21.152
B,10,4,2011,31.53107,-102.13475,10500,9.2591305361,40,160,7,1,1,631100,13.3552196076,974891,13.7900809489,100.196
D,27,2,2011,31.94907,-101.82352,10452,9.2545486266,80,20,6,4,8,1573985,14.2691211781,1460609,14.19436403,19.98
B,13,2,2004,31.6878,-101.9675,10497,9.258844781,80,Sub 20,7,4,8,149500,11.9150516718,290146,12.5781395236,28.392
B,10,4,2010,31.52416,-102.11392,10550,9.2638811389,40,Over 160,7,1,1,393500,12.8828363468,937190,13.7506413155,71.56
F,2,1,2006,31.65592,-101.53639,8103,8.9999896425,40,40,7,2,2,123000,11.7199396344,353400,12.7753558389,30.18
F,18,3,2008,31.56346,-101.41678,8710,9.0722270698,80,40,7,7,7,NA,NA,NA,NA,36.12
B,10,4,2012,31.51423,-102.12372,10655,9.2737845445,,,7,1,1,694000,13.4502272395,1090992,13.9025979321,22.9
F,18,1,2012,31.66163,-101.4309,9895,9.199784858,40,Over 160,#VALUE!,1,1,NA,NA,NA,NA,46.25013093
F,14,1,2012,31.6878,-101.44929,10122,9.2224665518,40,Over 160,1,7,14,845000,13.6470919063,567000,13.2481145827,9.5
D,2,1,2011,31.82076,-101.53848,10863,9.2931177984,80,160,8,7,7,522438,13.1662615955,686750,13.439725604,35.412
F,18,1,2011,31.65687,-101.50167,10144,9.2246376767,80,80,1,12,12,NA,NA,NA,NA,88.32861051
F,18,3,2012,31.57472,-101.44217,9910,9.2012996273,40,20,6,1,1,NA,NA,NA,NA,37.556
B,27,4,2012,31.51815,-101.98781,10890,9.2956002159,40,160,1,2,4,1361638,14.1241989448,1195850,13.9943677876,55.148
E,27,3,2006,31.59746,-101.6545,8344,9.0292979967,80,40,5,3,6,471200,13.0630379113,198881,12.2004619349,29.364
F,14,1,2011,31.6918,-101.49471,9988,9.2091396514,80,Over 160,1,7,14,873500,13.6802634086,547000,13.2122040814,48.432
B,10,4,2011,31.5814,-102.09789,11305,9.3330003847,160,40,1,1,1,651821,13.3875252633,1323798,14.0960154359,77.244
B,25,4,2010,31.62739191,-102.0014106,11000,9.3056505518,80,40,6,1,2,1256640,14.0439520504,256952,12.456644576,118.884
C,27,2,2007,31.80533,-101.96479,10413,9.2508103045,40,80,7,6,12,486021,13.0940071118,552316,13.2218756252,42.728
B,2,4,2012,31.54364,-102.01882,10800,9.2873014131,,,7,8,8,756750,13.5367882269,876500,13.6836919833,49.624
B,10,4,2012,31.59873,-102.15155,11125,9.316950107,80,40,1,1,2,465600,13.0510821754,935529,13.7488674237,64.4331449
D,27,1,2009,31.97958,-101.652,10017,9.2120389286,160,Over 160,7,8,16,744620,13.5206293001,992712,13.8081958707,55.332
F,2,3,2007,31.59645,-101.52648,8519,9.050054242,40,80,7,2,2,191500,12.1626430876,480102,13.0817538603,52.24596847
B,5,2,2011,31.69311,-101.92723,11773,9.3735640531,Over 160,40,1,11,22,609809,13.3209010724,858000,13.6623593785,7.608
A,3,2,2010,31.73704,-102.05005,10245,9.2345450607,40,80,7,6,12,718000,13.484224848,727010,13.4966955116,31.08
C,27,2,2003,31.75071,-101.84015,8970,9.1016409551,80,20,7,4,8,472170,13.0650943692,195181,12.1816826122,28.54388452
A,27,2,2012,31.76732,-102.17618,10509,9.2599873119,40,80,7,3,6,1154722,13.9593701803,947669,13.7617605641,78.02
D,14,1,2011,31.74802,-101.59546,10801,9.2873940014,80,Over 160,1,7,14,733000,13.5049009809,636000,13.3629538423,29.132
F,18,3,2010,31.58594,-101.47182,8775,9.0796620483,80,40,7,7,7,NA,NA,NA,NA,27.572
E,27,1,2003,31.67106,-101.68159,8530,9.0513446405,80,40,7,2,5,335820,12.7243305811,149870,11.9175235306,24.156
E,2,3,2009,31.47608,-101.60758,10270,9.2369823029,80,40,6,2,2,137000,11.8277362048,449500,13.0158911329,36.584
F,2,3,2008,31.63161,-101.55869,8234,9.0160272023,80,20,7,2,2,258000,12.4607148639,220375,12.3030859197,8.544
F,2,3,2006,31.61922,-101.56047,8211,9.0132299977,40,40,7,2,2,123000,11.7199396344,365482,12.8089723094,36.77679768
D,27,1,2009,31.76336,-101.62769,10091,9.2193992165,160,40,7,6,12,563980,13.2427740689,428505,12.9680576856,55.758
F,2,3,2006,31.60947,-101.55163,8218,9.0140821494,80,40,7,2,2,123000,11.7199396344,365500,12.8090215582,16.772
F,2,1,2006,31.69948,-101.57606,8283,9.0219605006,160,80,7,2,2,100975,11.5226282404,374500,12.8333470819,10.876
F,27,3,2010,31.56387,-101.4089,8593,9.0587031973,80,40,7,7,14,848060,13.650706667,607908,13.3177788337,23.88
B,27,4,2011,31.51414,-102.0153,10889,9.2955083843,80,80,6,3,6,1133771,13.9410598028,875218,13.6822282772,55.292
B,10,4,2012,31.50764,-102.11716,11512,9.3511452486,40,Over 160,7,1,2,573050,13.2587282519,14500,9.5819039284,69.256
B,10,4,2012,31.51511,-102.08872,11517,9.3515794837,40,Over 160,1,1,1,699004,13.4574117437,1181544,13.9823326157,176.1857485
C,27,2,2007,31.87597,-101.96966,9986,9.2089393911,20,Sub 20,7,5,10,522660,13.166686436,336925,12.7276156326,33.036
B,25,4,2012,31.648,-102.0078,12161,9.405989389,40,160,1,1,1,1417920,14.164701567,1803816,14.4054149788,23.064
D,27,1,2011,31.97724,-101.69533,10166,9.226804098,80,160,6,4,8,2904943,14.8819243267,1622730,14.2996204741,19.164
F,28,3,2007,31.50394,-101.51953,8521,9.0502889838,160,20,7,1,1,560050,13.2357813444,380342,12.8488261269,19.604
E,27,3,2005,31.49004,-101.69573,9334,9.1414189265,80,20,7,5,10,506667,13.135609262,370560,12.8227706539,44.232
C,2,2,2006,31.74599,-101.78104,9973,9.2076367204,40,40,7,6,12,523240,13.1677955288,437483,12.9887931269,27.264
E,2,3,2007,31.46229,-101.64137,8084,8.9976420785,20,20,7,2,2,123000,11.7199396344,364938,12.8074827551,21.004
C,27,2,2004,31.77514,-101.85229,9050,9.1105200367,40,40,7,3,6,471910,13.0645435684,205303,12.2322422157,80.32913438
C,27,2,2003,31.7097,-101.79151,8750,9.0768089794,40,20,7,2,4,335540,12.7234964533,130206,11.7768730906,27.84973229
E,2,3,2005,31.44406,-101.61534,8282,9.0218397641,40,40,7,2,2,100450,11.5174153702,383200,12.8563123251,22.39416894
C,27,2,2004,31.79926,-101.82893,8955,9.0999673145,,,7,3,6,473760,13.0684561433,200972,12.2109208739,30.336
B,23,2,2011,31.70621,-101.92425,10955,9.301551252,80,80,6,1,2,693800,13.4499390135,410700,12.9256182999,8.604
A,12,2,2005,31.85368,-102.03837,11478,9.3481874387,80,Sub 20,7,1,2,175000,12.0725412529,154000,11.9447078814,74.9528507
D,2,2,2007,31.93394,-101.78352,8826,9.0854571898,80,40,7,1,2,168500,12.0346910288,485562,13.093062262,35.52561313
F,2,3,2007,31.59996,-101.52757,8531,9.0514618669,40,40,7,2,2,171384,12.0516619319,478002,13.0773701956,29.488
F,18,3,2009,31.60748,-101.4502,8275,9.0209942002,80,40,7,NA,7,NA,NA,NA,NA,16.496
E,2,3,2004,31.51869,-101.66894,8307,9.0248538118,40,20,7,2,2,362000,12.7993994908,367506,12.814494924,21.0058
C,2,2,2006,31.75463,-101.7927,9865,9.1967484185,80,40,7,7,14,561279,13.2379733871,533918,13.1879975481,21.25904119
E,2,3,2012,31.48826,-101.62017,8025,8.990316948,40,40,7,4,4,465000,13.0497926846,459668,13.0382597688,21.94
B,13,2,2005,31.70681,-102.04947,10515,9.2605580881,40,40,7,4,8,188421,12.1464340999,295717,12.5971581949,29.68
B,10,4,2012,31.51967,-102.13041,10725,9.2803327438,40,Over 160,7,1,1,772500,13.5573872878,1170960,13.9733344832,53.736
F,27,1,2008,31.69162,-101.60838,8295,9.0234082026,80,40,5,4,8,579200,13.2694031201,238412,12.3817555485,15.55114674
B,3,4,2011,31.6331,-102.05671,10439,9.2533040714,160,40,7,7,7,1042520,13.8571514171,1067892,13.8811971698,54.916
C,27,2,2003,31.72485,-101.84168,8900,9.0938065557,160,40,7,3,6,472170,13.0650943692,210628,12.2578488233,42.128
A,13,2,2003,31.75426,-102.00885,10265,9.2364953295,40,40,7,1,1,257320,12.4580757255,197232,12.1921359798,35.86682289
A,24,2,2004,31.80228,-101.99589,11100,9.3147003873,40,40,7,1,2,250000,12.4292161968,86000,11.3621025752,46.744
E,2,3,2008,31.47627,-101.65664,8186,9.0101806571,40,40,7,2,2,16750,9.7261535373,278750,12.5380706018,14.376
C,27,2,2012,31.79764,-101.79802,11279,9.3306978686,80,20,1,5,10,1551766,14.2549041952,1489446,14.2139147967,120.0347822
A,10,2,2011,31.81163,-102.15056,11094,9.3141597006,80,40,1,1,1,851000,13.6541674076,1273818,14.0575292478,76.292
A,13,2,2006,31.73401,-102.0632,10592,9.2678542782,40,80,7,1,1,648106,13.3818095422,602154,13.3082685055,48.27209734
A,10,2,2011,31.81065,-102.12352,11105,9.3151507363,80,20,1,1,2,1125600,13.9338267848,22512,10.0218037794,195.747454
B,13,2,2004,31.68548,-102.0114,11250,9.3281234076,80,40,7,1,1,350290,12.7665166618,394800,12.8861345865,97.884
D,14,1,2011,31.75591,-101.6113,10715,9.2793999079,40,160,1,8,16,846000,13.6482746386,646000,13.3785547828,36.824
E,27,3,2003,31.6031,-101.74503,8540,9.0525162868,40,40,5,3,8,472550,13.0658988404,2541052,14.7480887265,32.70993787
F,14,1,2011,31.72146,-101.46417,10705,9.278466201,160,Over 160,2,7,15,840000,13.6411571708,777700,13.5640961247,21.2
E,27,3,2010,31.54401,-101.74443,8587,9.0580047107,80,40,7,4,8,512957,13.1479473,237090,12.3761950949,38.91903009
F,27,3,2004,31.55403,-101.5968,8150,9.0057732062,40,40,5,3,6,472270,13.0653061349,200552,12.2088288437,40.528
F,27,3,2005,31.62216,-101.58293,8150,9.0057732062,80,40,7,3,6,473940,13.0688360104,173362,12.0631371728,22.956
B,27,4,2011,31.51268,-101.99773,10900,9.2965180682,40,160,1,2,4,1116006,13.9252667983,870612,13.6769516916,57.116
B,2,4,2009,31.54706,-102.02025,10324,9.2422265608,40,160,7,3,3,449300,13.0154460951,581600,13.2735382052,68.756
A,10,2,2011,31.82752,-102.1777,11288,9.3314954935,80,80,1,1,1,978500,13.7937760658,1523424,14.236470991,71.07859197
B,10,4,2011,31.61858,-102.11414,11033,9.3086460608,Over 160,Sub 20,1,1,1,497189,13.1167255145,994938,13.8104357026,52.316
B,3,2,2010,31.66229167,-102.0929306,10180,9.2281802901,80,40,7,6,12,750000,13.5278284855,1184988,13.9852432059,16.628
A,10,2,2011,31.82989,-102.1831,11470,9.3474902101,80,160,1,1,1,751000,13.5291609307,1247568,14.0367066141,59.28813167
A,13,2,2010,31.71836,-102.08099,10575,9.2662480039,80,80,7,1,2,828220,13.6270340986,880194,13.6878976167,48.46
F,18,3,2010,31.5931,-101.46317,8725,9.0739477471,80,40,7,7,7,NA,NA,NA,NA,19.036
E,2,3,2008,31.46572,-101.6532,8156,9.0065091317,40,40,7,2,2,16750,9.7261535373,278750,12.5380706018,15.656
D,34,1,2012,31.92888,-101.7731,10655,9.2737845445,160,40,6,1,1,1818880,14.413731485,295008,12.5947577536,107.336
A,27,2,2006,31.8939,-102.00664,10184,9.2285731402,40,Sub 20,7,7,14,675047,13.4225375971,532444,13.1852330067,37.38
A,13,2,2006,31.77,-102.088,10435,9.2529208195,40,160,7,1,1,746360,13.5229633365,555702,13.2279874583,39.92
A,12,2,2008,31.77672,-102.05858,10291,9.2390250058,80,40,7,1,2,431000,12.9738633691,463150,13.0458062547,42.052
B,13,2,2007,31.6619,-101.99707,10632,9.2716236004,40,40,7,1,1,747800,13.5248908415,602322,13.308547465,55.72469755
B,13,2,2004,31.6752,-102.0392,10525,9.2615086586,160,80,7,4,8,169528,12.0407733839,280233,12.543376679,41.116
D,11,1,2012,31.80385,-101.58227,10669,9.2750976192,40,Over 160,4,1,1,944021,13.7579036906,1074780,13.8876265474,218.792
C,27,2,2006,31.78638,-101.94933,10492,9.258368341,40,160,7,6,11,401360,12.9026140592,466922,13.0539174991,50.748
A,2,2,2008,31.72568,-102.1758,10104,9.220686664,80,40,7,6,12,602400,13.3086769555,548832,13.2155476627,40.388
A,24,2,2004,31.79786,-101.99885,11000,9.3056505518,80,80,7,1,2,312000,12.6507584668,14000,9.5468126086,25.503
E,27,3,2008,31.44017,-101.60093,8615,9.061260149,80,40,7,7,14,853450,13.6570422372,706162,13.4675999519,22.696
A,2,2,2009,31.7112,-102.18869,10090,9.2193001133,160,40,7,6,12,404360,12.9100608493,432764,12.9779478238,11.38
E,30,3,2010,31.55983,-101.66473,8298,9.0237698009,160,40,7,3,3,390000,12.8739020181,298410,12.6062236588,31.20847532
D,5,2,2012,31.95364,-101.78102,11503,9.3503631499,40,40,4,9,18,996200,13.8117033196,902106,13.7124873088,57.16
A,13,2,2003,31.7346,-102.0277,10500,9.2591305361,160,80,7,4,7,247891,12.4207444124,272650,12.5159442004,38.20476317
B,13,2,2006,31.69801,-102.006,11258,9.328834266,40,40,7,1,1,639520,13.3684731739,581616,13.2735657151,36.552
B,27,2,2008,31.67222,-102.02027,10500,9.2591305361,160,40,7,7,14,688562,13.4423606439,721611,13.4892414915,42.5222477
B,10,4,2006,31.4915,-102.07673,10674,9.2755661569,40,80,7,1,2,763000,13.5450133103,922900,13.7352761653,90.536
D,27,1,2008,31.76303,-101.59157,10430,9.252441548,80,Over 160,7,6,12,695140,13.4518685431,635437,13.3620682302,27.776
A,10,2,2012,31.81556,-102.11977,11207,9.3242938621,80,40,1,1,1,929580,13.7424881502,1363320,14.1254334594,66.948
F,14,1,2012,31.72459,-101.48299,10034,9.213734605,,,#VALUE!,7,14,838500,13.6393698602,561500,13.2383670532,24.288
C,27,2,2004,31.93173,-101.8308,9365,9.1447346149,80,20,7,4,7,437481,12.9887885553,341722,12.74175282,60.648
A,13,2,2003,31.8296,-101.9903,10520,9.2610334863,160,80,7,4,8,168000,12.0317192584,288672,12.5730463745,29.28650586
F,2,3,2007,31.58887,-101.4929,8536,9.052047793,40,80,7,2,2,352554,12.772959081,387060,12.8663349988,32.204
F,14,1,2011,31.71955,-101.47231,10080,9.2183085416,160,Over 160,1,7,14,885000,13.693342924,757000,13.5371185324,24.084
F,18,3,2012,31.64264,-101.47006,8331,9.027738776,Over 160,20,7,1,1,NA,NA,NA,NA,32.19555527
B,2,4,2011,31.52599,-102.04404,10931,9.2993580683,40,40,6,8,8,1609663,14.2915353983,754313,13.5335626802,76.244
C,27,2,2006,31.83892,-101.96636,10336,9.243388226,40,80,7,6,11,399440,12.8978188452,463018,13.0455212092,52.692
B,13,2,2004,31.6916,-101.9886,10515,9.2605580881,160,80,7,4,8,163000,12.0015054798,268005,12.498760916,158.02
A,13,2,2005,31.74965,-101.99676,11102,9.3148805513,80,80,7,1,1,397760,12.8936040873,447678,13.011829503,52.128
B,27,2,2006,31.66763,-101.98048,10392,9.2487915584,,,7,4,8,595424,13.2970290358,388265,12.8694433752,38.603443
A,10,2,2011,31.80471,-102.11693,11208,9.324383088,80,40,1,1,1,858500,13.6629419593,1401666,14.1531720871,62.216
E,2,3,2006,31.53936,-101.66273,8342,9.0290582748,80,40,7,2,2,123000,11.7199396344,365806,12.8098584172,32.076
E,2,3,2005,31.52303,-101.66633,8310,9.0252148878,40,40,7,2,2,100450,11.5174153702,383200,12.8563123251,37.72
B,10,4,2010,31.51153,-102.0879,10595,9.2681374707,40,Over 160,7,1,1,644037,13.3755114569,1067052,13.8804102639,46.432
D,27,1,2012,31.97211,-101.68047,10076,9.2179116375,40,Over 160,#VALUE!,4,8,1249577,14.038315652,1360277,14.1231989134,21.284
C,27,2,2003,31.78129,-101.93888,10500,9.2591305361,40,80,7,6,14,535133,13.1902705931,400910,12.9014922422,48.24429574
C,2,2,2008,31.75036,-101.77816,9905,9.2007949591,40,40,7,7,14,626140,13.3473292673,610283,13.321678063,7.68
E,2,3,2003,31.4242,-101.63561,8246,9.0174835133,40,20,7,1,1,289000,12.5741819671,166295,12.0215185986,39.0632123
E,2,3,2004,31.46022,-101.6608,8284,9.0220812225,80,40,7,2,2,360000,12.7938593104,367506,12.814494924,32.42348826
B,25,4,2011,31.64124,-101.92573,11093,9.3140695577,80,40,1,1,1,1515583.945,14.2313113649,1074822,13.8876656244,43.216
B,13,2,2005,31.6979,-102.0868,10510,9.2600824639,40,80,7,3,6,145509,11.8879932194,198460,12.1983428475,48.332
B,25,4,2010,31.63887,-101.92025,11015,9.3070132592,80,40,1,1,1,602440,13.3087433543,725466,13.494569486,44.95842123
D,27,1,2008,31.76686,-101.61135,10568,9.2655858462,40,80,7,7,14,672071,13.4181192687,767718,13.5511777572,19.24918288
B,27,4,2012,31.50194,-102.02499,10870,9.2937619801,40,80,1,3,6,1356070,14.1201013686,1225744,14.0190585645,46.096
F,2,3,2006,31.57637,-101.49816,8500,9.0478214425,80,80,7,2,2,151023,11.9251874221,492870,13.1080007266,26.39411735
E,2,3,2005,31.528,-101.68779,8451,9.0420400565,20,20,7,2,2,100450,11.5174153702,383200,12.8563123251,36.764
E,2,3,2003,31.45166,-101.68412,8200,9.0118894333,160,40,7,1,1,290310,12.5787045965,153212,11.9395778622,22.30126664
A,12,2,2006,31.84966,-102.06792,10125,9.222762892,40,160,7,1,1,319000,12.6729463818,655250,13.3927721212,73.06722001
A,10,2,2008,31.68939,-102.19964,10350,9.2447417987,40,80,7,1,2,750000,13.5278284855,827800,13.6265268583,70.14
B,2,4,2012,31.53745,-102.01252,10820,9.2891515524,,,7,8,8,785730,13.5743685009,877500,13.6848322343,90.088
D,13,1,2005,31.77613,-101.59246,10255,9.2355206705,80,80,7,1,1,521740,13.1649246585,398454,12.8953473377,39.1412402
F,27,3,2004,31.59831,-101.58431,8116,9.0015927009,160,40,7,3,6,470270,13.0610622768,212988,12.2689911051,44.236
B,27,4,2011,31.5069,-101.9956,10884,9.2950490999,80,80,1,3,6,1187003,13.986942201,956326,13.7708541381,65.652
E,27,3,2008,31.6148,-101.7334,8672,9.0678547237,20,20,5,4,8,607030,13.3163334922,245005,12.4090338975,30.672
C,2,1,2008,31.71336,-101.77513,9886,9.1988748939,80,40,7,7,14,621902,13.340537803,589219,13.2865532102,16.768
F,18,1,2012,31.67496,-101.45422,9965,9.2068342326,80,Over 160,6,1,1,NA,NA,NA,NA,26.6
C,27,2,2009,31.76145,-101.90322,9188,9.1256535638,160,40,5,4,8,550040,13.2177462818,221636,12.3087916755,14.988
E,2,3,2006,31.49628,-101.67239,8317,9.0260568919,40,80,7,2,2,127548,11.7562480433,366270,12.8111260453,27.8
A,3,2,2010,31.71104,-102.09558,10200,9.2301429993,40,40,7,6,12,710000,13.473020249,684468,13.4363971732,39.1
