@relation 'well_data2-weka.filters.unsupervised.attribute.Remove-R1,5-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.StringToNominal-R7,8-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R12-15-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R33-weka.filters.unsupervised.attribute.Remove-R30,32'

@attribute Subarea {B,A,C,E,D,F}
@attribute County {MIDLAND,UPTON,REAGAN,GLASSCOCK}
@attribute Completion.Year numeric
@attribute Surface.Latitude numeric
@attribute Surface.Longitude numeric
@attribute WB.Spacing.Proxy {160,80,'Over 160',40,20,'Sub 20'}
@attribute SPBY.Spacing.Proxy {40,80,20,160,'Sub 20','Over 160'}
@attribute Deepest_Zone {WFMP,STRAWN,ATOKA,SPBR_L,WOOD,SIL_DEV,MISS,FUSS}
@attribute Top_Zone {WFMP,SPBR_U,CLFK,SPBR_L,STRAWN}
@attribute Frac.Stages numeric
@attribute Proppant...Total..lbs. numeric
@attribute Fluid...Total..lbs. numeric
@attribute CLFK..KHW. numeric
@attribute U_SPBR..KHW. numeric
@attribute L_SPBR..KHW. numeric
@attribute WFMP..KHW. numeric
@attribute WFMP_L..KHW. numeric
@attribute WFMP_ATB..KH numeric
@attribute CLINE..KHW. numeric
@attribute STRN..KHW. numeric
@attribute ATOK..KHW. numeric
@attribute BEND..KHW. numeric
@attribute ATOKA_L..KHW numeric
@attribute MPLM..KHW. numeric
@attribute WDFD..KHW. numeric
@attribute DVNN..KHW. numeric
@attribute Number numeric
@attribute Depth.Top numeric
@attribute Depth.Base numeric
@attribute Fluid.Type {A,W,X-LINKGEL,GEL,FLUD,F,WTR,G,O,FRAC,SLKW}
@attribute Propping.Agent.Type {undefined,SAND,CER,SANDCER,RCSD,SANDRCSD}
@attribute Injection.Rate numeric
@attribute Additive {HCL,GELA,SCIN,XLNK,FECL,SFAC,WGEL,WPLY,PFCL,FRDC,NEFE,GLST,KCL,CACL,BIOC,ACET,BRKR,ACIN,CRIN,NECL}
@attribute Mesh.Size {20/40,'20/40 & 16/3',16/30,20/20,30/70,'20 /40',40/70,20/04,30/50,18/40,20/50,MIXED}
@attribute EUR_o..Mstb. numeric

@data
F,REAGAN,2010,31.5637,-101.43808,80,40,WFMP,SPBR_U,?,?,?,4282,5838.37,6367.75,7535.73,7985.72,8179.29,9257.66,9619.5,9712.5,?,9783.41,9970.48,10088.32,10118.83,8,8156,8356,A,undefined,?,HCL,?,38.752
F,REAGAN,2010,31.63639,-101.41144,80,'Over 160',WFMP,SPBR_U,8,?,?,4180,5867,6409,7513,7750.62,8098.16,9159.18,9527.94,9630.48,?,9823.98,9865.71,9960.3,10016.24,8,8184,8362,A,undefined,?,HCL,?,43.756
B,UPTON,2010,31.61251,-102.01877,40,40,WFMP,SPBR_L,8,819760,1014258,6763,7655,8229.06,9185.27,9533.15,9799.86,10535.6,10831.97,10922.9,10996.29,11331.12,11783.83,11909.86,12019.49,16,8250,8399,X-LINKGEL,SAND,?,XLNK,20/40,60.556
B,UPTON,2010,31.60954,-102.01304,40,40,WFMP,SPBR_U,9,879800,937656,6756,7604,8216,9198,9513.63,9699.1,10556.54,10828.41,10934.27,11029.2,11375.62,11784.66,11910.48,12019.83,18,7670,7838,X-LINKGEL,SAND,?,XLNK,20/40,56.568
F,REAGAN,2010,31.56704,-101.41248,40,20,WFMP,SPBR_U,?,?,?,4017,5752.84,6281.65,7355.61,7635.01,8090.39,9168.78,9539.28,9629.37,?,9740.61,9854.59,9968.73,10005.41,7,8070,8268,A,undefined,?,HCL,?,36.128
A,MIDLAND,2010,31.71836,-102.08099,80,80,WFMP,SPBR_L,1,828220,880194,6891,7805,8309,9245,9613,10066,10337.25,10488.68,10708.37,10763.39,11003.96,11778.32,11979.83,12063.95,2,8358,10478,X-LINKGEL,SAND,?,XLNK,?,48.46
F,REAGAN,2010,31.56723,-101.42946,40,20,WFMP,SPBR_U,8,?,?,4193,5812.88,6339.45,7426.98,7648.13,8128.06,9225.79,9592.87,9685.89,?,9773.15,9931.59,10048.37,10080.5,8,8152,8348,A,undefined,?,HCL,?,27.556
E,REAGAN,2010,31.54401,-101.74443,80,40,WFMP,SPBR_U,4,512957,237090,5906.09,6810.2,7397.55,8399.64,8680.82,9022.17,10168.8,10536.84,10587.11,10546.69,10778.08,11105.23,11230.59,11284.85,8,6865,7007,X-LINKGEL,SAND,?,XLNK,20/40,38.91903
B,UPTON,2010,31.60272,-101.99334,80,40,WFMP,SPBR_U,9,959540,1041600,6697,7567.61,8160.35,9133.38,9480.3,9516.64,10559.02,10847.31,10957.16,11062.07,11388.87,11769.37,11889.56,11998.97,18,7626,7792,X-LINKGEL,SAND,?,XLNK,20/40,75.438244
F,REAGAN,2010,31.56728,-101.4337,40,20,WFMP,SPBR_U,8,?,?,4246,5831.69,6365.61,7528.19,7945.5,8151.64,9236.46,9604.7,9699.2,?,9777.1,9950.17,10068.19,10099.47,8,8096,8272,A,undefined,?,HCL,?,30.128
B,UPTON,2010,31.55121,-102.0348,160,80,WFMP,CLFK,9,1053000,36291,6750.2,7624,8219.35,9199,9452.38,9773.4,10460.02,10740.5,10862.97,10936.2,11268.02,11568.24,11690.63,11793.84,18,10510,10722,X-LINKGEL,SAND,63.6,?,?,81.380808
B,UPTON,2010,31.54825,-102.07773,160,80,STRAWN,SPBR_U,10,1030282,636238,6800,7676,8314.56,9086,9468,9780.69,10374.16,10610.48,10832.41,10955.76,11225.94,11630.75,11817.18,11924.03,20,10642,10705,X-LINKGEL,SAND,58.3,XLNK,?,68.288
E,REAGAN,2010,31.54579,-101.74868,40,40,SPBR_L,SPBR_U,4,531360,238014,5927.09,6823.14,7409.64,8414.27,8701.51,9042.2,10167.87,10541.79,10600.75,10557.11,10789.36,11129.63,11254.09,11308.77,8,6850,7221,X-LINKGEL,SAND,?,XLNK,20/40,52.884014
E,REAGAN,2010,31.54392,-101.75716,80,40,WFMP,SPBR_U,4,533560,230832,5964.38,6851.36,7444.62,8451.58,8733.95,9072.9,10176.99,10555.61,10625.79,10567.61,10803.14,11174.06,11295,11349.87,8,6896,7039,X-LINKGEL,SAND,?,XLNK,20/40,43.201165
B,UPTON,2010,31.55133,-102.09619,160,80,WFMP,CLFK,8,938079,1180146,6876.83,7738.31,8312.99,9168.79,9501.87,9740.67,10362.1,10743.86,10763.12,10893.56,11165.24,11642.36,11829.33,11929.22,16,10349,10562,X-LINKGEL,SAND,59,CACL,?,73.564
F,REAGAN,2010,31.57081,-101.42517,40,40,WFMP,SPBR_U,7,?,?,4158,5823.71,6346.24,7490.48,7917.85,8123.99,9212.09,9585.63,9679.66,?,9770.67,9918.68,10033.96,10069.98,7,8060,8206,A,undefined,?,HCL,?,59.376
B,MIDLAND,2010,31.65527,-102.09061,20,40,WFMP,SPBR_U,6,642000,689552,6889,7687,8313,9205,9572,9965.73,10298.75,10479.21,10690.79,10826.31,11133.37,11656.16,11814.09,11910.98,11,9760,9844,X-LINKGEL,SAND,?,XLNK,20/40,13.399598
E,REAGAN,2010,31.55983,-101.66473,160,40,WFMP,SPBR_U,3,390000,298410,5652,6566.94,7134.01,8166.67,8442.33,8759.68,9887.5,10285.24,10352.99,10445.48,10592.06,10751.24,10876.51,10919.62,3,7970,8178,X-LINKGEL,SAND,?,XLNK,20/40,31.208475
F,REAGAN,2010,31.56387,-101.4089,80,40,WFMP,SPBR_U,7,848060,607908,3989,5745.67,6270.96,7343.39,7620.68,8088.11,9170.56,9535.63,9626.26,?,9744.6,9846.54,9960.78,9997.07,14,5770,5790,X-LINKGEL,SAND,?,XLNK,20/40,23.88
B,UPTON,2010,31.51108,-102.10522,80,'Over 160',WFMP,SPBR_U,1,657000,14490,6888,7706,8353,9121,9494,9696,10322.11,10582.44,10747.82,10921.3,11353.17,11610.89,11994.01,12087.7,2,7830,10300,?,SAND,?,?,?,51.888
F,REAGAN,2010,31.56714,-101.42099,40,20,WFMP,SPBR_U,?,?,?,4108,5799.4,6317.54,7403.77,7658.17,8126.26,9198.42,9569.66,9662.89,?,9759.14,9897.56,10012.18,10048.13,1,5836,8260,A,undefined,?,HCL,?,44.716
F,REAGAN,2010,31.51968,-101.40904,40,40,WFMP,SPBR_L,?,?,?,4092.02,5601.13,6151.12,7545.22,7725.17,7933.71,9107.42,9469.34,9549.45,?,9679.42,9760.87,9879.61,9909.42,1,6414,8228,A,undefined,?,HCL,?,71.048
B,UPTON,2010,31.52919,-102.12475,40,'Over 160',WFMP,SPBR_U,1,673200,14500,6920,7771,8377,9116,9526,9812,10241.78,10456,10638.36,10774.1,11205.52,11610.59,11841.51,11948.27,2,7960,10340,?,SAND,?,?,?,71.148
A,MIDLAND,2010,31.85388,-102.05201,80,40,WFMP,SPBR_U,1,488000,560750,6906.35,7768.66,8335.88,9278.13,9605.36,9967.28,10371.92,10650.25,10849.76,10936.91,11208.25,11644.84,11843.87,11956.97,3,7944,10025,FLUD,SAND,?,GELA,?,62.456
B,UPTON,2010,31.62561,-102.072,160,40,WFMP,SPBR_U,1,6720000,685916,6850,7695,8300,9186,9501,9883,10295.1,10649.91,10750.94,10785.01,11025.6,11630.53,11759.52,11868.56,2,7850,9810,FLUD,SAND,?,?,20/40,41.364
D,GLASSCOCK,2010,31.94541,-101.73029,80,160,WOOD,WFMP,1,886704,12492,5882,6716,7232,8217,8447,8970,9735,10102,10224,10231.54,10257.49,10577.14,10698.93,10753.81,2,9752,10746,?,SAND,?,?,18/40,73.936
F,REAGAN,2010,31.57076,-101.42029,80,80,WFMP,SPBR_U,8,?,?,4099,5825,6318.71,7490.48,7915.33,8116.45,9159.53,9532.64,9626.25,?,9724.86,9860.46,9974.1,10010.98,8,8098,8290,A,undefined,?,HCL,?,30.7
A,MIDLAND,2010,31.84541,-102.03526,80,'Sub 20',WFMP,SPBR_U,1,436450,509300,6903,7779,8337.62,9320.81,9651.09,10005.51,10414.14,10721.42,10921.82,10962.67,11217.49,11780.71,11930.21,12029.83,2,8026,10014,FLUD,SAND,?,?,?,43.112
E,REAGAN,2010,31.44664,-101.60315,40,40,WFMP,SPBR_U,1,656313,184504,5220.83,6208.03,6773.21,7787.24,8082.95,8455.15,9697.98,10007.26,10112.55,?,10298.34,10425.76,10572.89,10603.26,2,6231,8045,GEL,SAND,?,XLNK,20/40,20.104
B,UPTON,2010,31.62804,-102.01465,80,80,STRAWN,SPBR_L,1,1219456.055,236954,6762,7660,8309,9270,9563,10035,10605.15,10888.57,10976.61,11009.04,11296.23,11848.89,11977.68,12087.07,2,8288,10850,X-LINKGEL,SAND,?,?,?,69.34
B,MIDLAND,2010,31.69394,-102.07219,40,40,WFMP,SPBR_U,6,713000,612920,6871,7787,8381,9257,9617,9922,10445.9,10611.78,10848.94,10824.14,11075.22,11875.55,12054.65,12131.93,12,9740,9825,X-LINKGEL,SAND,?,XLNK,20/40,11.7
F,REAGAN,2010,31.60762,-101.46296,80,40,WFMP,SPBR_U,8,?,?,4957,5963.83,6498.69,7573.68,7890.11,8260.29,9305.47,9721.41,9819.66,?,9881.56,10115.98,10211.01,10248.96,8,8278,8470,A,undefined,?,HCL,?,23.924
E,REAGAN,2010,31.44939,-101.60397,40,20,WFMP,SPBR_U,1,501474,498415,5321,6229,6792,7816.98,8090.23,8461.79,9699.61,10010.42,10115.94,?,10302.2,10427.17,10575.88,10607.42,2,6246,8043,GEL,SAND,?,XLNK,?,26.276
F,REAGAN,2010,31.53994,-101.54474,40,80,WFMP,SPBR_U,1,823600,655662,4656.81,6146.38,6711.39,7766.62,7943.48,8375.09,9575.94,9957.11,10044.74,?,10138.88,10339.15,10449.08,10482.81,2,6156,8406,X-LINKGEL,SAND,?,?,?,36.019646
F,REAGAN,2010,31.59678,-101.4677,80,20,WFMP,SPBR_U,8,?,?,4978,5981.21,6516.07,7595.4,7959.51,8276.81,9329.91,9740.77,9836.43,?,9891.09,10142.78,10234.47,10273.51,8,8270,8464,A,undefined,?,HCL,?,23.696
F,REAGAN,2010,31.5636,-101.42951,40,40,WFMP,SPBR_U,?,?,?,4189,5805.04,6335.2,7418.9,7646.15,8145.8,9242.59,9605.61,9701.18,?,9785.91,9946.17,10063.72,10095.48,1,5844,8276,A,undefined,?,HCL,?,39.816
A,MIDLAND,2010,31.84877,-102.04194,40,'Sub 20',WFMP,SPBR_U,1,508046,558237,6895.08,7766.99,8333.62,9306.41,9622.05,10008.69,10402.39,10697.46,10917.34,10964.95,11227.93,11724.49,11897.35,12002.47,3,7974,10038,X-LINKGEL,SAND,?,?,?,50.06
D,MIDLAND,2010,31.94021,-101.80586,40,20,STRAWN,CLFK,1,559956,59240,5943.27,7015,7546,8525,8792,9077,9888,10222,10347,10364.79,10390.95,10674.25,10972.7,11041.23,2,6972,10338,X-LINKGEL,SAND,?,XLNK,20/40,25.856
F,REAGAN,2010,31.5524,-101.40423,80,20,WFMP,SPBR_U,8,?,?,4062.16,5697.43,6214.3,7287.79,7557.35,8056.59,9141.01,9498.5,9586.46,?,9716.61,9801.98,9916.9,9948.69,8,8006,8200,A,undefined,?,HCL,?,21.52
F,REAGAN,2010,31.58594,-101.47182,80,40,WFMP,SPBR_L,7,?,?,4951,5971.35,6511.96,7606.75,7857.68,8288.32,9352.18,9756.9,9847.59,?,9895.02,10157.28,10256.18,10290.85,7,8338,8528,A,undefined,?,HCL,?,27.572
E,REAGAN,2010,31.5253,-101.74867,40,20,STRAWN,SPBR_U,10,968831,990020,5898.16,6796.19,7379.76,8386.61,8670.31,9005.29,10209.6,10562.05,10583.8,10507.08,10746.34,11100.55,11222.53,11276.14,20,6810,6962,X-LINKGEL,SAND,?,XLNK,20/40,67.295196
B,UPTON,2010,31.58313,-101.89823,160,80,STRAWN,SPBR_U,3,469180,476000,6389.96,7255.72,7865.34,8838.01,9171.36,9487.11,10422.44,10626.3,10772.77,10844.62,11085.39,11629.93,11695.15,11784.87,3,8999,10724,SLKW,SAND,?,?,?,57.16
E,REAGAN,2010,31.53657,-101.75736,40,20,SPBR_L,SPBR_U,4,512012,227400,5956.09,6859.32,7448.03,8451.81,8726.69,9059.6,10183.77,10563.73,10621.39,10547.95,10785.85,11165.86,11286.56,11342.22,8,6881,7036,X-LINKGEL,SAND,?,XLNK,20/40,42.767914
E,REAGAN,2010,31.53767,-101.76797,40,20,WFMP,SPBR_U,4,531060,232035,5997.07,6902.33,7495.33,8508.3,8767.54,9103.46,10179.99,10572.42,10653.83,10567.9,10808.95,11222.28,11338.57,11395,8,6932,7090,X-LINKGEL,SAND,?,XLNK,20/40,51.744107
B,UPTON,2010,31.52416,-102.11392,40,'Over 160',WFMP,SPBR_U,1,393500,937190,6907.26,7739.51,8352.75,9125.02,9517.02,9764.87,10280.29,10545.25,10706.82,10824.85,11245.26,11613.69,11900.44,12002.43,1,8365,10365,GEL,SAND,?,?,?,71.56
F,REAGAN,2010,31.60748,-101.47582,40,'Sub 20',WFMP,SPBR_U,8,?,?,5029,6012.37,6542.9,7626.57,7929.99,8293.99,9345.01,9764.17,9863.34,?,9917.47,10179.85,10268.65,10306.13,8,8314,8510,A,undefined,?,HCL,?,32.252
E,REAGAN,2010,31.52574,-101.75539,40,40,WFMP,SPBR_U,4,502400,235662,5931.11,6833.13,7424.76,8422.26,8702.11,9035.73,10191.96,10569.5,10610.74,10519.94,10761.01,11140.34,11260.45,11315.17,8,6866,7018,X-LINKGEL,SAND,?,XLNK,20/40,26.236
F,REAGAN,2010,31.58227,-101.46788,80,40,WFMP,SPBR_U,7,?,?,4859,5954.01,6503.86,7590.05,7771.03,8289.89,9353.21,9752.37,9842.11,?,9889.4,10144.09,10246.89,10281.28,7,8336,8526,A,undefined,?,HCL,?,28.812
F,REAGAN,2010,31.59325,-101.47599,40,40,WFMP,SPBR_U,8,?,?,5060,5984.35,6510.01,7620.18,7941.18,8293.38,9354.82,9768.93,9861.29,?,9910.18,10176.52,10266.39,10304.97,8,8318,8510,A,undefined,?,HCL,?,45.84
A,MIDLAND,2010,31.76113,-102.02638,40,40,WFMP,SPBR_U,1,486000,516600,6718,7621,8174,9140,9469,9831,10394.49,10672.83,10826.03,10964.15,11244.84,11730.97,11933.42,11986.58,2,7828,9905,FLUD,SAND,?,?,?,31.588
F,REAGAN,2010,31.57859,-101.46337,80,40,WFMP,SPBR_L,7,?,?,4738,5892.13,6461.86,7551.82,7636.82,8271.05,9335.03,9726.52,9814.92,?,9864.26,10113.82,10216.53,10250.8,7,8294,8492,A,undefined,?,HCL,?,49.684
F,REAGAN,2010,31.52707,-101.3965,80,40,WFMP,SPBR_U,8,?,?,4051.91,5595.14,6115.27,7494.44,7717.72,7915.09,9079.75,9422.1,9499.57,?,9666.07,9703.92,9820.74,9851.12,8,7934,8138,A,undefined,?,HCL,?,37.14
B,UPTON,2010,31.533,-102.01528,40,80,ATOKA,SPBR_U,3,643865,436500,6676.17,7554.08,8142.73,9089.44,9403.97,9689.38,10410.64,10705.03,10791.44,10727.96,11048.23,11463.22,11553.56,11651.8,3,9154,10709,SLKW,SAND,?,?,?,53.86
B,UPTON,2010,31.51672,-102.12895,40,'Over 160',WFMP,SPBR_U,1,?,1039126.184,6917.37,7766.19,8367.49,9113.72,9498.55,9762.83,10195.68,10470.68,10629.07,10778.52,11201.49,11558.25,11822.79,11931.14,2,8350,10270,FLUD,?,?,?,?,62.008
F,REAGAN,2010,31.50567,-101.45596,40,40,WFMP,SPBR_U,8,?,?,4276.91,5797.22,6350.57,7394.11,7606.16,8164.42,9308.9,9625.98,9723,?,9745.49,9961.45,10092.98,10128.1,8,8114,8302,A,undefined,?,HCL,?,39.416
B,MIDLAND,2010,31.72803,-101.92556,40,80,WFMP,SPBR_U,10,1032200,992922,6557,7431,8043,9043,9397,9789,10495,10740.78,10893.45,10913.93,11128.65,11704.66,11886.24,11923.41,20,7472,7648,X-LINKGEL,SAND,?,XLNK,20/40,42.016
B,MIDLAND,2010,31.72936,-101.93595,40,40,WFMP,SPBR_L,9,897850,872874,6592,7479,8056,9041,9393,9813,10507.81,10784.96,10908.97,10926.4,11145.44,11737.83,11916.38,11957.86,18,8080,8202,X-LINKGEL,SAND,?,XLNK,20/40,39.588
A,MIDLAND,2010,31.67964,-102.19577,80,40,WFMP,SPBR_U,1,526500,605000,7025,7777,8316,9142,9420,9686,10104.51,10202.61,10379.83,10493.45,10768.87,11357.55,11546.68,11672.17,2,7912,9915,FLUD,SAND,?,?,?,41.076
F,REAGAN,2010,31.61184,-101.43088,40,80,WFMP,SPBR_U,7,?,?,4469,5902.39,6453.63,7544.35,7833.33,8163.95,9220.8,9609.12,9710.88,?,9812.51,9963.61,10072.74,10108.44,7,7862,7998,A,undefined,?,HCL,?,48.448
E,REAGAN,2010,31.52035,-101.76218,80,40,SPBR_L,SPBR_U,4,524033,237396,5949.57,6872.08,7464.31,8465.95,8722.63,9055.1,10168.42,10573.54,10631.75,10516.49,10761.93,11168.36,11288.36,11343.71,8,6898,7050,X-LINKGEL,SAND,?,XLNK,20/40,19.544
E,REAGAN,2010,31.52215,-101.75427,40,40,SPBR_L,SPBR_U,4,556756,241416,5921.21,6818.15,7410.67,8412.38,8691.83,9026.53,10188.42,10567.82,10605.4,10510.2,10752.54,11130.04,11250.68,11304.9,8,6842,6995,X-LINKGEL,SAND,?,XLNK,20/40,38.064
F,REAGAN,2010,31.55632,-101.42962,80,40,WFMP,SPBR_U,8,?,?,4169.38,5791.33,6321.65,7399.59,7597.98,8139.61,9230.98,9586.33,9678.87,?,9763.6,9923.56,10043.8,10072.23,8,8112,8306,A,undefined,?,HCL,?,38.759371
F,REAGAN,2010,31.62199,-101.45073,80,160,WFMP,SPBR_U,7,?,?,4551.11,5942.87,6483,7548.39,7830.56,8230.73,9265.03,9678,9778.13,?,9865.33,10053.42,10155.01,10194.15,7,7894,8032,A,undefined,?,HCL,?,20.028
E,REAGAN,2010,31.50975,-101.75927,20,40,SPBR_L,SPBR_U,4,531359,234798,5918.91,6828.83,7418.38,8424.32,8694.19,9025.34,10134.94,10553.07,10614.44,10486.29,10736.64,11133.03,11249.55,11304.42,8,6846,7000,X-LINKGEL,SAND,?,XLNK,20/40,14.336
B,UPTON,2010,31.54812,-102.01593,40,160,STRAWN,SPBR_U,3,646397,675500,6665.58,7532.97,8137.66,9064.33,9399.77,9744.26,10365.82,10680.87,10814.93,10801.2,11131.77,11534.69,11638.52,11739.57,3,9152,10709,GEL,SAND,?,?,?,90.412
C,MIDLAND,2010,31.83735,-101.95706,40,160,WFMP,SPBR_U,7,614501,892846,6634,7495,8078,9078,9395,9692.9,9990,10543.55,10717.28,10787.84,11005.33,11239.81,11523.4,11623.63,14,7888,8126,X-LINKGEL,?,?,?,?,45.956
D,GLASSCOCK,2010,31.96948,-101.71061,160,160,WFMP,SPBR_U,8,696467,891294,5606,6628,7134,8159,8575,8877,9586,9998.2,10127.6,10211.57,10228.71,10444.27,10664.45,10712.55,16,6662,6667,X-LINKGEL,SAND,?,XLNK,20/40,25.224
C,MIDLAND,2010,31.92395,-101.82149,160,20,ATOKA,SPBR_L,3,486000,753318,6008,7022,7567,8553,8835,9134,9905,10251,10386,10416.19,10490.74,10885.56,11039.42,11116.35,5,10154,10446,GEL,CER,?,?,16/30,63.750341
F,REAGAN,2010,31.54912,-101.43397,80,40,WFMP,SPBR_U,8,?,?,4201.76,5797.45,6328.78,7408.45,7576.62,8154.29,9257.85,9598.99,9685.87,?,9764.93,9937.37,10062.36,10087.47,8,8174,8366,A,undefined,?,HCL,?,28.78
F,REAGAN,2010,31.57128,-101.46771,40,40,WFMP,SPBR_U,8,?,?,4678.66,5928.02,6479.56,7559.21,7643.81,8281.38,9359.17,9739.27,9825.13,?,9866.23,10127.18,10233.19,10265.51,8,8262,8456,A,undefined,?,HCL,?,43.016
D,MIDLAND,2010,31.96226,-101.7926,80,40,STRAWN,SPBR_L,1,86743,100823,5920.73,6988.73,7510.85,8477.35,8737.51,9117.17,9851.86,10234.96,10318.39,10329.79,10354.12,10604.56,10941.67,11005.53,2,7560,10239,GEL,SAND,?,?,?,33.272
F,REAGAN,2010,31.54902,-101.4255,40,80,WFMP,SPBR_U,8,?,?,4109.09,5742.35,6269.86,7342.25,7558.76,8104.12,9197.38,9550.83,9639.27,?,9732.03,9877.66,10001.19,10026.51,8,8124,8316,A,undefined,?,HCL,?,21.844
E,REAGAN,2010,31.52989,-101.74538,40,20,STRAWN,SPBR_U,10,999885,1151228,5892.15,6793.56,7379.26,8385.55,8665.57,9002.89,10216.9,10558.91,10578,10515.93,10752.47,11090.27,11214.65,11268.38,20,6827,6967,X-LINKGEL,SAND,?,XLNK,20/40,41.483747
E,REAGAN,2010,31.53076,-101.74153,40,20,STRAWN,SPBR_U,10,932678,1112538,5879.11,6783.1,7366.15,8370.18,8654.87,8989.75,10220.56,10552.99,10570.41,10513.01,10748.15,11073.2,11199.05,11252.61,20,6796,6950,X-LINKGEL,SAND,?,XLNK,20/40,49.108
F,GLASSCOCK,2010,31.69581,-101.44731,40,'Over 160',ATOKA,SPBR_L,1,609217,768857,4619,5948.32,6489.93,7607.91,7927.83,8187.89,9306.97,9687.86,9788.49,?,9990.37,9978.48,10152.63,10224.43,1,7042,9805,W,SAND,?,GELA,?,19.788
A,MIDLAND,2010,31.71104,-102.09558,40,40,WFMP,SPBR_U,6,710000,684468,6936,7814,8354,9233,9629,10072.51,10343.29,10479.98,10635.9,10730,10914.18,11749.04,11957.64,12038.5,12,9940,10002,X-LINKGEL,SAND,?,XLNK,20/40,39.1
A,MIDLAND,2010,31.72054,-102.072,80,160,WFMP,SPBR_L,1,793130,895120,6858.24,7766.07,8324.99,9241.19,9583.93,9948.95,10379.15,10526.19,10754.87,10815.32,11078.71,11806.56,12006.41,12082.58,2,8319,10452,GEL,SAND,?,GELA,?,42.657278
A,MIDLAND,2010,31.73704,-102.05005,40,80,WFMP,SPBR_U,6,718000,727010,6798,7757,8242,9242,9603,9984,10457.61,10660.64,10847.05,11030.96,11305.88,11840.89,12042.9,12102.94,12,9950,9970,X-LINKGEL,SAND,?,XLNK,20/40,31.08
B,UPTON,2010,31.627392,-102.001411,80,40,STRAWN,SPBR_U,1,1256640,256952,6769,7644,8246,9220,9582,10043,10615.77,10929,11021.4,11084.61,11368.88,11877.34,12007.85,12118.28,2,7708,10936,GEL,SAND,?,?,?,118.884
B,UPTON,2010,31.64466,-102.05608,40,40,WFMP,SPBR_U,6,730000,686950,6870.85,7760.44,8340.07,9274.43,9573.34,10017.28,10469.01,10764.19,10885.48,10875.1,11100.45,11813.26,11952.55,12050.85,12,9916,9936,X-LINKGEL,SAND,?,XLNK,20/40,35.896
B,UPTON,2010,31.50444,-102.08558,40,'Over 160',WFMP,SPBR_U,1,653500,14500,6855,7675,8339,9167.15,9498,9815,10291,10665.18,10844.63,10995.04,11408.25,11648.68,11899.16,11977.04,2,8330,10490,?,SAND,?,?,?,33.11299
F,REAGAN,2010,31.62608,-101.42818,80,160,WFMP,SPBR_U,7,?,?,4448.93,5880.48,6432.44,7522.1,7813.11,8157.99,9206.21,9594.72,9699.39,?,9829.78,9948.53,10052.74,10091.12,7,7814,7978,A,undefined,?,HCL,?,41.536
F,REAGAN,2010,31.57343,-101.51137,80,40,WFMP,SPBR_U,1,901360,707784,4767,6076.42,6641.68,7710.52,7847.66,8304.37,9484.02,9889.27,9974.09,?,10020.85,10305.49,10405.45,10444.53,2,6102,8412,X-LINKGEL,SAND,?,?,?,42.036
F,REAGAN,2010,31.49842,-101.4603,80,20,WFMP,SPBR_U,8,?,?,4301.3,5806.91,6353.88,7389.14,7644.24,?,9287.96,9646.11,9737.45,?,9761.32,9976.8,10114.27,10149.82,8,8114,8307,A,undefined,?,HCL,?,77.724
A,MIDLAND,2010,31.76512,-102.0453,40,40,WFMP,SPBR_U,1,508690,561230,6802.41,7696.63,8260.33,9218.2,9568.05,9892.06,10391.94,10657.78,10820.05,10920.11,11209.76,11724.78,11934.58,12005.27,2,7872,9791,W,SAND,?,GELA,?,35.488
F,REAGAN,2010,31.53287,-101.55439,160,80,WFMP,SPBR_U,1,1253728.027,974232,4799.2,6168.57,6729.66,7775.24,8000.56,8412.53,9597.08,9961.01,10049.98,?,10164.75,10327.17,10435.88,10469.28,2,6182,8337,GEL,SAND,?,GELA,?,26.412
F,REAGAN,2010,31.55127,-101.52655,160,40,WFMP,SPBR_U,1,846560,588630,4545.23,6115.39,6690.3,7792.2,8067.77,8294.93,9536.76,9934.48,10016.7,?,10076.08,10331.72,10441.09,10477.07,2,6124,8377,GEL,SAND,?,GELA,?,30.318612
B,UPTON,2010,31.63445,-102.00351,40,160,STRAWN,SPBR_L,9,1673314,218931,6757.68,7636.45,8227.64,9196.2,9546.06,10024.9,10576.77,10893.44,11008.75,11037.87,11311.79,11892.53,12021.46,12131.08,17,10950,10970,X-LINKGEL,SAND,29,XLNK,?,163.868
B,MIDLAND,2010,31.662292,-102.092931,80,40,WFMP,SPBR_U,6,750000,1184988,6902.37,7767.45,8327.55,9231.13,9543.63,10027.2,10347.83,10502.74,10782.73,10925.66,11243.63,11748.95,11916.02,12010.82,12,9780,9876,X-LINKGEL,SAND,?,XLNK,20/40,16.628
F,REAGAN,2010,31.53491,-101.46822,160,40,ATOKA,SPBR_L,1,1234463.945,1123794,4359.76,5881.84,6590.88,7843.46,8029.17,8258.35,9530.68,9713.99,9800.92,?,9818.29,10075.63,10204.58,10238,2,6474,10039,GEL,SAND,?,?,?,60.988
